key,en,ko
player_skin.1001.name,Piyo,삐약이
player_skin.1001.description,A brave little chick ready for the first jump.,첫 점프를 함께하는 작고 용감한 병아리.
player_skin.1002.name,Overall Piyo,멜빵이
player_skin.1002.description,Overalls on and courage turned all the way up.,멜빵은 단단히 용기는 가득 채웠어요.
player_skin.1003.name,Apron Piyo,앞치미
player_skin.1003.description,A cozy helper who always brings a snack.,간식을 챙기고 뛰어오르는 포근한 도우미.
player_skin.1004.name,Pilot Piyo,파일럿삐
player_skin.1004.description,A tiny pilot chasing wind above the platforms.,발판 위 바람을 따라가는 꼬마 파일럿.
player_skin.1005.name,Farmer Piyo,농부삐
player_skin.1005.description,A sunny farmer with steady feet and a cheerful heart.,햇살처럼 밝고 성실한 농부 병아리.
player_skin.1006.name,Wizard Piyo,마법삐
player_skin.1006.description,A little wizard who believes every jump is magic.,모든 점프가 마법이라고 믿는 작은 마법사.
player_skin.1007.name,Pirate Piyo,해적삐
player_skin.1007.description,A bold pirate searching for golden landings.,황금 착지를 찾아 떠나는 당찬 해적.
player_skin.1008.name,Dino Piyo,디노삐
player_skin.1008.description,A dino chick with a giant sized spirit.,커다란 마음을 가진 공룡 옷 병아리.
